CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMINISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V134|V135|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V136|V137|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|E133|V138|V139|FECHA_ENTREGA|C_OBSERVACION
04FIC0122Q|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|48|UKUM|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|1|0|0|0|0|0|1|1|2|0|2|0|0|0|0|0|3|1|4|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|10|0|4|0|0|0|0|0|0|10|1|0|0|0|0|0|2|2|2|2|4|3|1|4|0|0|0|5|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|1|0|10|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0123P|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|49|XCALOT AKAL|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|5|4|9|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|17/12/2024|
04FIC0124O|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|50|EL POSTE|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|2|0|2|0|1|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|5|0|0|0|0|0|0|0|7|3|10|0|1|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|17/12/2024|
04FIC0125N|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|53|XCULOC|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|1|4|5|0|4|0|0|0|0|0|2|1|3|0|3|0|0|0|0|0|2|0|2|0|2|0|0|0|0|0|2|1|3|0|3|0|0|0|0|0|7|6|13|0|12|0|0|0|0|0|0|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|17/12/2024|
04FIC0126M|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|57|XMABÉN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|3|0|0|0|0|0|1|2|3|0|3|0|0|0|0|0|1|1|2|0|2|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|5|4|9|0|9|0|0|0|0|0|0|9|1|0|0|0|0|1|0|1|2|2|4|1|2|3|1|0|1|5|4|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|1|0|9|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0127L|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|57|XMABÉN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|1|0|0|0|0|0|1|3|4|0|3|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|3|6|9|0|5|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|1|0|1|1|6|7|1|0|1|3|6|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|8|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0128K|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|57|XMABÉN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|4|0|4|0|4|0|0|0|0|0|1|1|2|0|2|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|1|7|0|7|0|0|0|0|0|0|6|0|0|0|0|0|1|0|1|4|0|4|0|1|1|1|0|1|6|1|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0129J|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|58|XMEJÍA|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|5|0|5|0|0|0|0|0|3|1|4|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|2|9|0|9|0|0|0|0|0|0|9|1|0|0|0|0|0|0|0|2|0|2|4|1|5|1|1|2|7|2|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|1|0|9|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0130Z|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|6|HOPELCHÉN|62|YAXCHÉ AKAL|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||4|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|5|0|0|0|0|0|0|0|2|7|9|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|17/12/2024|
04FIC0131Y|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|29|RIBERA DE LA CORRIENTE|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|9|0|0|0|0|0|0|0|1|8|0|0|0|2|2|4|0|4|4|1|5|0|0|0|0|0|0|8|3|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|7|0|0|9|0|2|2|0|0|0|0|0|1|NO ESPECIFICADO|0|2|13/12/2024|
04FIC0132X|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|61|EL MANGAL|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|2|6|0|0|0|0|0|0|0|0|6|1|0|0|1|1|1|2|3|3|2|5|0|0|0|0|0|0|4|5|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|2|0|6|0|2|2|0|0|0|0|0|1|NO ESPECIFICADO|0|2|13/12/2024|
04FIC0133W|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|98|EL BORBOTÓN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|1|4|0|0|1|1|2|3|0|3|1|2|3|0|0|0|0|0|0|5|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|5|0|2|2|0|0|0|0|0|1|NO ESPECIFICADO|0|2|13/12/2024|
04FIC0134V|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|107|LA TOZA|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|2|4|0|1|0|0|0|0|0|1|3|0|0|2|1|3|1|1|2|2|0|2|0|0|0|0|0|0|5|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|4|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0135U|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|109|RIBERA SAN EDUARDO|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|2|2|2|2|4|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0136T|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|111|RIVERA DE LA VIUDA|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|2|8|0|0|0|0|0|0|0|0|6|0|0|0|0|0|1|3|4|3|1|4|1|0|1|0|0|0|5|4|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|7|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0137S|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|169|SANTA CRUZ|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|3|2|5|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|4|8|0|0|0|0|0|0|0|1|7|1|0|0|1|1|0|3|3|1|0|1|0|0|0|0|0|0|1|4|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|3|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0138R|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|206|PLAN DEL CARMEN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|6|0|0|0|0|0|0|2|2|3|0|3|0|1|1|0|0|0|3|3|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0139Q|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|212|MATA DEL CHATO|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|1|5|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0140F|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|238|LAS BODEGAS|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|5|0|0|0|0|0|0|0|0|5|1|0|0|1|1|1|0|1|3|1|4|0|0|0|0|0|0|4|2|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|0|0|5|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0141E|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|320|LAGÓN DULCE|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|6|0|0|0|0|0|1|0|1|0|1|1|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0142D|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|454|TUMBO DE LA MONTAÑA 1|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|1|3|0|0|0|0|0|2|0|2|1|1|2|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|4|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0143C|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|521|RIBERA GÓMEZ|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|5|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|7|0|0|0|0|0|0|0|0|7|0|0|0|0|0|1|1|2|1|1|2|1|0|1|0|0|0|3|2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|0|7|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0144B|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|7|PALIZADA|856|RIBERA DEL PLAYÓN|NINGUNO NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|5|4|9|0|0|0|0|0|0|0|1|8|0|0|0|0|0|0|1|1|0|2|2|2|0|2|0|1|1|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|9|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0145A|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|1|TENABO|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|3|5|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|4|6|10|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|1|1|0|1|1|3|3|6|0|0|0|3|5|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|9|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0146Z|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|1|TENABO|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|5|5|10|0|0|0|0|0|0|0|0|10|0|0|0|0|0|2|0|2|0|1|1|3|1|4|0|3|3|5|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|10|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0147Z|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|5|TINÚN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|2|3|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|7|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|1|1|1|1|2|2|2|4|0|0|0|3|4|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|7|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0148Y|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|5|TINÚN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|3|1|4|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|10|0|0|0|0|0|0|0|0|10|0|0|0|0|0|3|1|4|0|2|2|2|2|4|0|0|0|5|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|10|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0149X|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|16|XKUNCHEIL|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|5|0|0|0|0|0|0|0|0|5|0|0|0|1|1|1|0|1|1|2|3|0|1|1|0|0|0|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|0|5|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0150M|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|8|TENABO|98|SANTA ROSA|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2|7|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|1|1|2|0|2|3|1|4|0|0|0|5|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|6|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
04FIC0151L|4|DISCONTINUO|CENTRO DE APOYO A LA EDUCACIÓN INICIAL DEL CONAFE|4|CAMPECHE|4|CAMPECHE|9|ESCÁRCEGA|18|LA ASUNCIÓN|CALLE NINGUNO|0|PÚBLICO|FEDERAL|0||0||0||0||0|||||0|0|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|3|3|6|0|0|0|0|0|0|0|0|6|0|0|0|1|1|2|0|2|0|4|4|1|0|1|1|0|1|4|5|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|5|0|1|1|0|0|0|0|0|1|NO ESPECIFICADO|0|1|17/12/2024|
